bug type,species,sym_index,Median_R,Median_G,Median_B,Std_R,Std_G,Std_B,Area
Bumblebee,Bombus lapidarius,123.48973141666667,26.0,19.0,40.0,43.6411425230682,37.040478130669534,64.62949629182482,486951.0
Bumblebee,Bombus lapidarius,91.31419383333333,59.0,66.0,97.0,40.749114213018785,41.67281630782059,54.42810172460803,878934.0
Hover fly,Eristalis,125.64000133333333,78.0,103.0,117.0,47.65913661763894,55.33725761934599,52.127911202542315,1656451.0
Bumblebee,Bombus hortorum,149.81551958333333,25.0,21.0,27.0,49.71733150885591,49.41981511079358,51.38129345712355,898902.0
Bumblebee,Bombus hortorum,169.72138616666666,34.0,39.0,47.0,45.72376342993581,49.44539632614988,49.521382280936606,835845.0
Bee,Apis mellifera,122.06972933333333,99.0,107.0,138.0,54.171749679014354,48.21922402086643,54.88564030024867,518953.0
Butterfly,Macroglossum stellatarum,132.41027583333334,166.0,184.0,201.0,48.71351573347105,53.60535328510381,55.810176983165455,1519428.0
Butterfly,Macroglossum stellatarum,122.028334,127.0,132.0,158.0,54.58891746728068,49.59630297517059,45.5450007867481,650416.0
Bumblebee,Bombus hortorum,108.06562808333334,25.0,36.0,47.0,42.45119908813424,50.02751342523182,54.56080441825127,259992.0
Bumblebee,Bombus hortorum,110.97264541666667,19.0,29.0,38.0,46.78617531195317,45.87597747503162,51.85157245194255,295779.0
Bee,Thyreus,103.89751175,62.0,55.0,52.0,60.8783207222365,58.760370983115024,59.9108026043773,325125.0
Bee,Thyreus,119.088212,47.0,74.0,66.0,54.522747968782355,54.57306027050518,49.4612311793329,153609.0
Bee,Apis mellifera,147.049616,67.0,107.0,113.0,46.89423697278621,50.800771604482456,52.04453800760009,326976.0
Bumblebee,Bombus hortorum,116.26555383333333,31.0,43.0,60.0,47.15272456718485,48.01866448252744,51.624487608202806,842850.0
Bumblebee,Bombus hortorum,127.64020641666667,31.0,43.0,51.0,41.08701352174834,47.97927667829321,57.365486447783304,385833.0
Bumblebee,Bombus hortorum,96.22853616666667,72.0,94.0,119.0,62.91020691871442,62.417485793978464,67.87509746960437,864684.0
Bee,Apis mellifera,123.56811183333333,63.0,104.0,115.0,53.27453381172208,54.352603200472096,54.78655240608416,556266.0
Bumblebee,Bombus pascuorum,112.6132135,93.0,116.0,146.0,61.663441807273294,63.14326813499107,64.1572843217114,465057.0
Bumblebee,Bombus hortorum,107.09191725,48.0,62.0,80.0,58.04186816984294,57.89339780564691,63.126438549558756,1149222.0
Bumblebee,Bombus hortorum,158.96764641666667,43.0,58.0,73.0,64.15181447537819,65.6711917183467,69.15306055620515,1041988.0
